# Generated by MIB Walker
# Version 10.10.201
# 28/12/2017 04:49:49 p.m.
#
# MIB Walk of 10.12.13.2
MIB	OID	Name	Type	Value
IF-MIB	1.3.6.1.2.1.2.2.1.14.6	ifInErrors.6	Counter32	0
IF-MIB	1.3.6.1.2.1.2.2.1.14.7	ifInErrors.7	Counter32	0
IF-MIB	1.3.6.1.2.1.2.2.1.14.8	ifInErrors.8	Counter32	0
IF-MIB	1.3.6.1.2.1.2.2.1.14.9	ifInErrors.9	Counter32	0
IF-MIB	1.3.6.1.2.1.2.2.1.14.10	ifInErrors.10	Counter32	0
IF-MIB	1.3.6.1.2.1.2.2.1.14.11	ifInErrors.11	Counter32	0
IF-MIB	1.3.6.1.2.1.2.2.1.14.12	ifInErrors.12	Counter32	0
IF-MIB	1.3.6.1.2.1.2.2.1.14.13	ifInErrors.13	Counter32	0
IF-MIB	1.3.6.1.2.1.2.2.1.14.14	ifInErrors.14	Counter32	0
IF-MIB	1.3.6.1.2.1.2.2.1.14.15	ifInErrors.15	Counter32	0
IF-MIB	1.3.6.1.2.1.2.2.1.14.16	ifInErrors.16	Counter32	0
IF-MIB	1.3.6.1.2.1.2.2.1.15.1	ifInUnknownProtos.1	Counter32	0
IF-MIB	1.3.6.1.2.1.2.2.1.15.2	ifInUnknownProtos.2	Counter32	0
IF-MIB	1.3.6.1.2.1.2.2.1.15.3	ifInUnknownProtos.3	Counter32	0
IF-MIB	1.3.6.1.2.1.2.2.1.15.4	ifInUnknownProtos.4	Counter32	0
IF-MIB	1.3.6.1.2.1.2.2.1.15.5	ifInUnknownProtos.5	Counter32	0
IF-MIB	1.3.6.1.2.1.2.2.1.15.6	ifInUnknownProtos.6	Counter32	0
IF-MIB	1.3.6.1.2.1.2.2.1.15.7	ifInUnknownProtos.7	Counter32	0
IF-MIB	1.3.6.1.2.1.2.2.1.15.8	ifInUnknownProtos.8	Counter32	0
IF-MIB	1.3.6.1.2.1.2.2.1.15.9	ifInUnknownProtos.9	Counter32	0
IF-MIB	1.3.6.1.2.1.2.2.1.15.10	ifInUnknownProtos.10	Counter32	0
IF-MIB	1.3.6.1.2.1.2.2.1.15.11	ifInUnknownProtos.11	Counter32	0
IF-MIB	1.3.6.1.2.1.2.2.1.15.12	ifInUnknownProtos.12	Counter32	0
IF-MIB	1.3.6.1.2.1.2.2.1.15.13	ifInUnknownProtos.13	Counter32	0
IF-MIB	1.3.6.1.2.1.2.2.1.15.14	ifInUnknownProtos.14	Counter32	0
IF-MIB	1.3.6.1.2.1.2.2.1.15.15	ifInUnknownProtos.15	Counter32	0
IF-MIB	1.3.6.1.2.1.2.2.1.15.16	ifInUnknownProtos.16	Counter32	0
IF-MIB	1.3.6.1.2.1.2.2.1.16.1	ifOutOctets.1	Counter32	2514008991
IF-MIB	1.3.6.1.2.1.2.2.1.16.2	ifOutOctets.2	Counter32	0
IF-MIB	1.3.6.1.2.1.2.2.1.16.3	ifOutOctets.3	Counter32	0
IF-MIB	1.3.6.1.2.1.2.2.1.16.4	ifOutOctets.4	Counter32	0
IF-MIB	1.3.6.1.2.1.2.2.1.16.5	ifOutOctets.5	Counter32	0
IF-MIB	1.3.6.1.2.1.2.2.1.16.6	ifOutOctets.6	Counter32	0
IF-MIB	1.3.6.1.2.1.2.2.1.16.7	ifOutOctets.7	Counter32	0
IF-MIB	1.3.6.1.2.1.2.2.1.16.8	ifOutOctets.8	Counter32	0
